Date,Time,I1,I2,I3,V1N,V2N,V3N
06-07-2023,10:00:00,0,0,0,235.8925018,235.9874993,235.9525032
06-07-2023,10:04:00,0,0,0,235.5149994,235.6074982,235.5699997
06-07-2023,10:08:00,0,0,0,235.7849998,235.8775024,235.842495
06-07-2023,10:12:00,0,0,0,235.5274963,235.6175041,235.5800018
06-07-2023,10:16:00,0,0,0,236.2549973,236.3450013,236.3125038
06-07-2023,10:20:00,0,0,0,237.149999,237.2400004,237.2066701
06-07-2023,10:24:00,0,0,0,236.7949982,236.8875008,236.8525009
06-07-2023,10:28:00,0,0,0,237.4524956,237.545002,237.5125008
06-07-2023,10:32:00,0,0,0,238.0475006,238.1424942,238.1049996
06-07-2023,10:36:00,0,0,0,239.1899948,239.2825012,239.2500038
06-07-2023,10:40:00,0,0,0,238.8975029,238.9949989,238.9575043
06-07-2023,10:44:00,0,0,0,240.0750046,240.1674996,240.1349983
06-07-2023,10:48:00,0,0,0,242.7033335,242.800003,242.7633362
06-07-2023,10:52:00,0,0,0,243.1199989,243.2175026,243.1824951
06-07-2023,10:56:00,0,0,0,243.6633301,243.7633311,243.7233378
06-07-2023,11:00:00,0,0,0,243.125,243.2174988,243.1850014
06-07-2023,11:04:00,0,0,0,243.1074982,243.2025032,243.1674995
06-07-2023,11:08:00,0,0,0,244.2366638,244.3300018,244.2933299
06-07-2023,11:12:00,0,0,0,244.2899983,244.3833313,244.3466644
06-07-2023,11:16:00,0,0,0,237.8175049,237.9124985,237.8750038
06-07-2023,11:20:00,0,0,0,230.7425003,230.8325043,230.8000031
06-07-2023,11:24:00,0,0,0,230.420002,230.5074997,230.4775009
06-07-2023,11:28:00,0,0,0,230.3150025,230.4050026,230.375
06-07-2023,11:32:00,0,0,0,231.0874977,231.1775017,231.1450005
06-07-2023,11:36:00,0,0,0,231.3933309,231.4766693,231.4466655
06-07-2023,11:40:00,0,0,0,229.7150002,229.8024979,229.7724991
06-07-2023,11:44:00,0,0,0,230.4349976,230.5250053,230.4924965
06-07-2023,11:48:00,0,0,0,231.142498,231.2299996,231.199997
06-07-2023,11:52:00,0,0,0,230.2999992,230.387497,230.3549995
06-07-2023,11:56:00,0,0,0,230.7825012,230.8725014,230.8425026
06-07-2023,12:00:00,0,0,0,230.6450005,230.732502,230.7025032
06-07-2023,12:04:00,0,0,0,232.7233327,232.8133342,232.7766724
06-07-2023,12:08:00,0,0,0,232.4950027,232.5824967,232.5499992
06-07-2023,12:12:00,0,0,0,232.0699997,232.1600037,232.1274987
06-07-2023,12:16:00,0,0,0,232.4824982,232.5725022,232.5400009
06-07-2023,12:20:00,0,0,0,232.2699966,232.3624954,232.3274994
06-07-2023,12:24:00,0,0,0,232.7233327,232.8133341,232.7833303
06-07-2023,12:28:00,0,0,0,233.9824982,234.0750008,234.0374985
06-07-2023,12:32:00,0,0,0,233.8199997,233.909996,233.8799973
06-07-2023,12:36:00,0,0,0,234.9324989,235.0225029,234.9900017
06-07-2023,12:40:00,0,0,0,234.1124992,234.2024994,234.1725006
06-07-2023,12:44:00,0,0,0,234.0299988,234.1200028,234.0875054
06-07-2023,12:48:00,0,0,0,233.3774986,233.4674988,233.4399948
06-07-2023,12:52:00,0,0,0,234.25,234.3433329,234.3099976
06-07-2023,12:56:00,0,0,0,234.8074951,234.8975029,234.8675003
06-07-2023,13:00:00,0,0,0,234.6925011,234.7824974,234.7524986
06-07-2023,13:04:00,0,0,0,235.7100016,235.8000031,235.7699992
